% Model:              mini proje 2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 1 2026, 17:27
% Dimension:          1
% Nodes:              147
% Expressions:        1
% Description:        Global
% theta_rot               Coil concatenated flux, Coil concatenated flux, Coil concatenated flux
0.4188790204786391        0.020345724480764462
0                         0.009992452453381425
0.008726646259971648      0.008891300871360705
0.017453292519943295      0.0077649887704193425
0.026179938779914945      0.006617309022535986
0.03490658503988659       0.005452138785633044
0.04363323129985824       0.004273092526278268
0.05235987755982989       0.0030831357459717708
0.061086523819801536      0.0018858075306637508
0.06981317007977318       6.840265334789003E-4
0.07853981633974483       -5.194168855497821E-4
0.08726646259971647       -0.0017216930182228733
0.09599310885968812       -0.002919811921079056
0.10471975511965978       -0.004110925297646489
0.11344640137963143       -0.0052917348411127465
0.12217304763960307       -0.006459015952161262
0.1308996938995747        -0.007609322138034739
0.13962634015954636       -0.008738639464982026
0.14835298641951802       -0.009843394943638064
0.15707963267948966       -0.01091991061066829
0.16580627893946132       -0.011963770855237128
0.17453292519943295       -0.01297072225008288
0.1832595714594046        -0.013938138684861243
0.19198621771937624       -0.01485993871185565
0.2007128639793479        -0.01573194364502928
0.20943951023931956       -0.01654993916897892
0.2181661564992912        -0.017309103465704065
0.22689280275926285       -0.018004566360616956
0.23561944901923448       -0.018631314471167934
0.24434609527920614       -0.019186962665394266
0.2530727415391778        -0.01966652018614458
0.2617993877991494        -0.02006665640982436
0.27052603405912107       -0.02038660791837384
0.2792526803190927        -0.020622465505003525
0.2879793265790644        -0.02077427974813451
0.29670597283903605       -0.02084128712405565
0.30543261909900765       -0.02082204070783972
0.3141592653589793        -0.02071862271411462
0.32288591161895097       -0.020529771943053853
0.33161255787892263       -0.020257707833252207
0.34033920413889424       -0.019902904028301707
0.3490658503988659        -0.019467750679450762
0.35779249665883756       -0.018955075088357566
0.3665191429188092        -0.018367456550793856
0.3752457891787809        -0.017710259465156704
0.3839724354387525        -0.016986599787949714
0.39269908169872414       -0.016200933492171225
0.4014257279586958        -0.015359422932486396
0.41015237421866746       -0.014465311781825743
0.4188790204786391        -0.013523031625102268
0                         0.009996385582379357
0.008726646259971648      0.011068823185868173
0.017453292519943295      0.012107865557392471
0.026179938779914945      0.013109473193000699
0.03490658503988659       0.014070544600596181
0.04363323129985824       0.01498577336778893
0.05235987755982989       0.01585046970026779
0.061086523819801536      0.016660773565832756
0.06981317007977318       0.01741134520008654
0.07853981633974483       0.0180976397036352
0.08726646259971647       0.018714976358377655
0.09599310885968812       0.019259855582364434
0.10471975511965978       0.01972854615017759
0.11344640137963143       0.020117177582014714
0.12217304763960307       0.020425830912659513
0.1308996938995747        0.020649998187877935
0.13962634015954636       0.020789953933148423
0.14835298641951802       0.020845108746991865
0.15707963267948966       0.02081396507813323
0.16580627893946132       0.02069846921432492
0.17453292519943295       0.020497888533476265
0.1832595714594046        0.02021368266210993
0.19198621771937624       0.019847858828865493
0.2007128639793479        0.019401606357805294
0.20943951023931956       0.01887811814051043
0.2181661564992912        0.018280597940003838
0.22689280275926285       0.017613599883894826
0.23561944901923448       0.01688106356150025
0.24434609527920614       0.016086681608247184
0.2530727415391778        0.015237646508184214
0.2617993877991494        0.014336509036843663
0.27052603405912107       0.013388063880074344
0.2792526803190927        0.012397451055255849
0.2879793265790644        0.011368453364798078
0.29670597283903605       0.010305213274146708
0.30543261909900765       0.009211768959292887
0.3141592653589793        0.008092474769644304
0.32288591161895097       0.006950582883935258
0.33161255787892263       0.005790072410867223
0.34033920413889424       0.004614567497696905
0.3490658503988659        0.003427433071923842
0.35779249665883756       0.002231773444071674
0.3665191429188092        0.0010309403023615992
0.3752457891787809        -1.7244225673756448E-4
0.3839724354387525        -0.0013752874540043406
0.39269908169872414       -0.002574780129914311
0.4014257279586958        -0.0037683733564850175
0.41015237421866746       -0.004952520199376465
0.4188790204786391        -0.006123980858332516
